Feature,F_score,p_value
DHG,10.794119706903905,9.372607764804888e-16
PL_CTD_20,10.778395013105316,9.927010569032651e-16
PL_CKSAAP_246,10.777141598877707,9.972590127975831e-16
PL_CKSAAP_79,10.772677650844212,1.013662741605692e-15
PL_CKSAAP_38,10.749033650217338,1.1051610448381747e-15
KG,10.742305598666569,1.1326776857972334e-15
FR,10.72440150236023,1.2092908434043853e-15
PL_CTDD_67,10.708795467110914,1.2802912729754002e-15
PL_CKSAAP_375,10.70166274241807,1.3141174187332142e-15
PL_AAIndex1_185,10.701351924812009,1.3156116146167593e-15
PL_CKSAAP_339,10.683935421374569,1.4021142118807801e-15
PL_AAIndex1_394,10.669550486947028,1.4778384845015894e-15
PL_CTDD_3,10.666510616954918,1.4943576407950686e-15
